max_words,overlap,ndcg@10,recall@10,recall@20,recall@50,chunks,build_s,query_s
120,20,0.4031,0.51,0.7717,0.8767,73473,87.5,5.4
120,40,0.4031,0.51,0.7717,0.8767,73473,87.1,5.1
120,60,0.4031,0.51,0.7717,0.8767,73473,87.0,5.1
100,20,0.4022,0.5383,0.7933,0.8767,90182,93.4,4.7
100,40,0.4022,0.5383,0.7933,0.8767,90182,90.0,4.5
100,60,0.4022,0.5383,0.7933,0.8767,90183,93.1,6.1
140,20,0.3811,0.5317,0.7767,0.88,62069,78.9,3.3
140,40,0.3811,0.5317,0.7767,0.88,62069,79.8,2.9
140,60,0.3811,0.5317,0.7767,0.88,62069,78.0,3.0
