min_idf,query_set,n_queries,ndcg@10,ndcg@10_off,delta_vs_off,recall@10,recall@100
1.0,public,29,0.5165,0.5297,-0.0132,0.6321,0.9396
1.0,llm,30,0.8551,0.8597,-0.0047,0.9378,0.96
1.0,squad,119,0.4656,0.4618,0.0038,0.6218,0.7983
2.0,public,29,0.52,0.5297,-0.0097,0.6436,0.9434
2.0,llm,30,0.8551,0.8597,-0.0047,0.9378,0.96
2.0,squad,119,0.4629,0.4618,0.001,0.605,0.7899
3.0,public,29,0.5231,0.5297,-0.0066,0.636,0.9319
3.0,llm,30,0.8551,0.8597,-0.0047,0.9378,0.96
3.0,squad,119,0.4476,0.4618,-0.0142,0.5798,0.7983
